hin_id	hin_sent	eng_id	eng_sent	eng_roots
hin_id	hin_sent	eng_id	eng_sent	b'^eng/*eng$_^sent/sent<adj>/send<vblex><past>/send<vblex><pp>$\n'
Hin_Geo_ncert_6stnd_1ch_0001	सूर्यास्त के बाद आकाश को देखना कितना अच्छा लगता है।	Eng_Geo_ncert_6stnd_1ch_0001	How wonderful it is to watch the sky after sunset	b'^How/How<adv>/How<preadv>/How<adv><itg>$ ^wonderful/wonderful<adj>$ ^it/prpers<prn><subj><p3><nt><sg>/prpers<prn><obj><p3><nt><sg>$ ^is/be<vbser><pres><p3><sg>$ ^to/to<pr>$ ^watch/watch<n><sg>/watch<vblex><inf>/watch<vblex><pres>/watch<vblex><imp>$ ^the/the<det><def><sp>$ ^sky/sky<n><sg>$ ^after/after<adv>/after<cnjadv>/after<pr>$ ^sunset/sunset<n><sg>$\n'
Hin_Geo_ncert_6stnd_1ch_0002	आसमान में पहले एक या दो चमकते बिंदु ही दिखते हैं, लेकिन बाद में इनकी संख्या बढ़ती जाती है।	Eng_Geo_ncert_6stnd_1ch_0002	One would first notice one or two bright dots shining in the sky. Soon you would see the number increasing.	b'^One/One<num><sg>/One<prn><dem><mf><sg>$ ^would/will<vbmod><past>$ ^first/first<adv>/first<adj><ord>$ ^notice/notice<n><sg>/notice<vblex><inf>/notice<vblex><pres>/notice<vblex><imp>$ ^one/one<num><sg>/one<prn><dem><mf><sg>$ ^or/or<cnjcoo>$ ^two/two<num><pl>$ ^bright/bright<adj><sint>$ ^dots/dot<n><pl>$ ^shining/shine<vblex><pprs>/shine<vblex><subs>/shine<vblex><ger>$ ^in/in<adv>/in<pr>$ ^the/the<det><def><sp>$ ^sky/sky<n><sg>$^./.<sent>$ ^Soon/Soon<adv>/Soon<adj><sint>$ ^you/you<prn><pers><p2><mf><sg>/prpers<prn><subj><p2><mf><sp>/prpers<prn><obj><p2><mf><sp>$ ^would/will<vbmod><past>$ ^see/see<vblex><inf>/see<vblex><pres>/see<vblex><imp>$ ^the/the<det><def><sp>$ ^number/number<n><sg>/number<vblex><inf>/number<vblex><pres>/number<vblex><imp>$ ^increasing/increasing<adj>/increase<vblex><pprs>/increase<vblex><subs>/increase<vblex><ger>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0003	आप उनकी गणना नहीं कर सकते।	Eng_Geo_ncert_6stnd_1ch_0003	You cannot count them any more.	b'^You/You<np><cog><sg>/You<prn><pers><p2><mf><sg>/Prpers<prn><subj><p2><mf><sp>/Prpers<prn><obj><p2><mf><sp>$ ^cannot/can<vbmod><pres>+not<adv>$ ^count/count<n><sg>/count<vblex><inf>/count<vblex><pres>/count<vblex><imp>$ ^them/that<prn><dem><pl>/prpers<prn><obj><p3><mf><pl>$ ^any more/any more<adv>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0004	संपूर्ण आकाश छोटी-छोटी चमकदार वस्तुओं से भर जाता है, जिनमें से कुछ चमकीले होते हैं एवं कुछ धुँधले।	Eng_Geo_ncert_6stnd_1ch_0004	The whole sky is filled with tiny shining objects – some are bright, others dim.	b'^The/The<det><def><sp>$ ^whole/whole<adj>/whole<n><sg>$ ^sky/sky<n><sg>$ ^is/be<vbser><pres><p3><sg>$ ^filled/fill<vblex><pp>/fill<vblex><past>$ ^with/with<pr>$ ^tiny/tiny<adv>/tiny<adj><sint>$ ^shining/shine<vblex><pprs>/shine<vblex><subs>/shine<vblex><ger>$ ^objects/object<n><pl>/object<vblex><pres><p3><sg>$ \xe2\x80\x93 ^some/some<adj>/some<adv>/some<det><qnt><sp>/some<prn><ind><mf><pl>$ ^are/be<vbser><pres>$ ^bright/bright<adj><sint>$^,/,<cm>$ ^others/others<prn><ind><mf><pl>$ ^dim/dim<adj><sint>/dim<vblex><inf>/dim<vblex><pres>/dim<vblex><imp>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0005	ऐसा प्रतीत होता है, मानो आकाश में हीरे जड़े हों।	Eng_Geo_ncert_6stnd_1ch_0005	It seems as if the sky is studded with diamonds.	b'^It/Prpers<prn><subj><p3><nt><sg>/Prpers<prn><obj><p3><nt><sg>$ ^seems/seem<vblex><pres><p3><sg>$ ^as/as<adv>/as<preadv>/as<cnjsub>/as<cnjadv>/as<pr>$ ^if/if<adv>/if<cnjsub>$ ^the/the<det><def><sp>$ ^sky/sky<n><sg>$ ^is/be<vbser><pres><p3><sg>$ ^studded/stud<vblex><past>/stud<vblex><pp>$ ^with/with<pr>$ ^diamonds/diamond<n><pl>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0006	इनमें से कुछ टिमटिमाते प्रतीत होते हैं।	Eng_Geo_ncert_6stnd_1ch_0006	They all appear to be twinkling	b'^They all/They all<prn><subj><p3><mf><pl>$ ^appear/appear<vblex><inf>/appear<vblex><pres>/appear<vblex><imp>$ ^to/to<pr>$ ^be/be<vbser><inf>/be<vbser><imp>$ ^twinkling/twinkle<vblex><pprs>/twinkle<vblex><subs>/twinkle<vblex><ger>$\n'
Hin_Geo_ncert_6stnd_1ch_0007	लेकिन अगर आप उनको ध्यान से देखेंगे तो आप पाएँगे कि इनमें से कुछ की टिमटिमाहट अन्य से अलग है।	Eng_Geo_ncert_6stnd_1ch_0007	But if you look at them carefully you will notice that some of them do not twinkle as others do.	b'^But/But<cnjcoo>/But<pr>$ ^if/if<adv>/if<cnjsub>$ ^you/you<prn><pers><p2><mf><sg>/prpers<prn><subj><p2><mf><sp>/prpers<prn><obj><p2><mf><sp>$ ^look at/look<vblex><inf># at/look<vblex><pres># at/look<vblex><imp># at$ ^them/that<prn><dem><pl>/prpers<prn><obj><p3><mf><pl>$ ^carefully/carefully<adv>$ ^you/you<prn><pers><p2><mf><sg>/prpers<prn><subj><p2><mf><sp>/prpers<prn><obj><p2><mf><sp>$ ^will/will<n><sg>/will<vbmod><inf>/will<vbmod><pres>/will<vblex><inf>/will<vblex><pres>/will<vblex><imp>$ ^notice/notice<n><sg>/notice<vblex><inf>/notice<vblex><pres>/notice<vblex><imp>$ ^that/that<cnjsub>/that<det><dem><sg>/that<prn><dem><mf><sg>/that<prn><rel><an><mf><sp>$ ^some/some<adj>/some<adv>/some<det><qnt><sp>/some<prn><ind><mf><pl>$ ^of/of<pr>$ ^them/that<prn><dem><pl>/prpers<prn><obj><p3><mf><pl>$ ^do/do<vblex><inf>/do<vblex><pres>/do<vblex><imp>/do<vaux><inf>/do<vaux><pres>/do<vbdo><inf>/do<vbdo><pres>/do<vbdo><imp>$ ^not/not<adv>$ ^twinkle/twinkle<vblex><inf>/twinkle<vblex><pres>/twinkle<vblex><imp>$ ^as/as<adv>/as<preadv>/as<cnjsub>/as<cnjadv>/as<pr>$ ^others/others<prn><ind><mf><pl>$ ^do/do<vblex><inf>/do<vblex><pres>/do<vblex><imp>/do<vaux><inf>/do<vaux><pres>/do<vbdo><inf>/do<vbdo><pres>/do<vbdo><imp>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0008	ये बिना किसी टिमटिमाहट के चंद्रमा के समान चमकते हैं।	Eng_Geo_ncert_6stnd_1ch_0008	They simply glow without any flicker just as the moon shines.	b'^They/Prpers<prn><subj><p3><mf><pl>$ ^simply/simply<adv>$ ^glow/glow<n><sg>/glow<vblex><inf>/glow<vblex><pres>/glow<vblex><imp>$ ^without/without<adv>/without<pr>$ ^any/any<adv>/any<det><ind><sp>/any<prn><qnt><mf><sp>$ ^flicker/flicker<vblex><inf>/flicker<vblex><pres>/flicker<vblex><imp>$ ^just as/just as<adv>/just as<cnjadv>$ ^the/the<det><def><sp>$ ^moon/moon<n><sg>$ ^shines/shine<n><pl>/shine<vblex><pres><p3><sg>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0009	इन चमकीली वस्तुओं के साथ आप लगभग प्रतिदिन चंद्रमा को भी देखते हैं।	Eng_Geo_ncert_6stnd_1ch_0009	Along with these bright objects, you may also see the moon on most of the days	b'^Along with/Along with<pr>$ ^these/this<det><dem><pl>/this<prn><dem><mf><pl>$ ^bright/bright<adj><sint>$ ^objects/object<n><pl>/object<vblex><pres><p3><sg>$^,/,<cm>$ ^you/you<prn><pers><p2><mf><sg>/prpers<prn><subj><p2><mf><sp>/prpers<prn><obj><p2><mf><sp>$ ^may/may<vbmod><inf>/may<vbmod><pres>$ ^also/also<adv>$ ^see/see<vblex><inf>/see<vblex><pres>/see<vblex><imp>$ ^the/the<det><def><sp>$ ^moon/moon<n><sg>$ ^on/on<adv>/on<pr>$ ^most of/most of<det><qnt><sp>$ ^the/the<det><def><sp>$ ^days/day<n><pl>$\n'
