	hin_id	hin_sent	eng_id	eng_sent
0	Hin_Geo_ncert_6stnd_1ch_0001	सूर्यास्त के बाद आकाश को देखना कितना अच्छा लगता है।	Eng_Geo_ncert_6stnd_1ch_0001	How wonderful it is to watch the sky after sunset
1	Hin_Geo_ncert_6stnd_1ch_0002	आसमान में पहले एक या दो चमकते बिंदु ही दिखते हैं, लेकिन बाद में इनकी संख्या बढ़ती जाती है।	Eng_Geo_ncert_6stnd_1ch_0002	One would first notice one or two bright dots shining in the sky. Soon you would see the number increasing.
2	Hin_Geo_ncert_6stnd_1ch_0003	आप उनकी गणना नहीं कर सकते।	Eng_Geo_ncert_6stnd_1ch_0003	You cannot count them any more.
3	Hin_Geo_ncert_6stnd_1ch_0004	संपूर्ण आकाश छोटी-छोटी चमकदार वस्तुओं से भर जाता है, जिनमें से कुछ चमकीले होते हैं एवं कुछ धुँधले।	Eng_Geo_ncert_6stnd_1ch_0004	The whole sky is filled with tiny shining objects – some are bright, others dim.
4	Hin_Geo_ncert_6stnd_1ch_0005	ऐसा प्रतीत होता है, मानो आकाश में हीरे जड़े हों।	Eng_Geo_ncert_6stnd_1ch_0005	It seems as if the sky is studded with diamonds.
5	Hin_Geo_ncert_6stnd_1ch_0006	इनमें से कुछ टिमटिमाते प्रतीत होते हैं।	Eng_Geo_ncert_6stnd_1ch_0006	They all appear to be twinkling
6	Hin_Geo_ncert_6stnd_1ch_0007	लेकिन अगर आप उनको ध्यान से देखेंगे तो आप पाएँगे कि इनमें से कुछ की टिमटिमाहट अन्य से अलग है।	Eng_Geo_ncert_6stnd_1ch_0007	But if you look at them carefully you will notice that some of them do not twinkle as others do.
7	Hin_Geo_ncert_6stnd_1ch_0008	ये बिना किसी टिमटिमाहट के चंद्रमा के समान चमकते हैं।	Eng_Geo_ncert_6stnd_1ch_0008	They simply glow without any flicker just as the moon shines.
8	Hin_Geo_ncert_6stnd_1ch_0009	इन चमकीली वस्तुओं के साथ आप लगभग प्रतिदिन चंद्रमा को भी देखते हैं।	Eng_Geo_ncert_6stnd_1ch_0009	Along with these bright objects, you may also see the moon on most of the days
9	Hin_Geo_ncert_6stnd_1ch_0010	यह अलग-अलग समय पर अलग आकार तथा अलग स्थितियों में दिखाई पड़ता है।	Eng_Geo_ncert_6stnd_1ch_0010	It may, however, appear at different times, in different shapes and at different positions
10	Hin_Geo_ncert_6stnd_1ch_0011	आप पूर्ण चंद्र को लगभग एक महीने में एक बार देख सकते हैं।	Eng_Geo_ncert_6stnd_1ch_0011	You can see the full moon only once in about a month’s time.
11	Hin_Geo_ncert_6stnd_1ch_0012	यह पूर्ण चंद्रमा वाली रात या पूर्णिमा होती है।	Eng_Geo_ncert_6stnd_1ch_0012	It is Full moon night or Poornima.
12	Hin_Geo_ncert_6stnd_1ch_0013	पंद्रह दिन के बाद आप इसे नहीं देख सकते।	Eng_Geo_ncert_6stnd_1ch_0013	A fortnight later, you cannot see it at all.
13	Hin_Geo_ncert_6stnd_1ch_0014	यह नये चंद्रमा की रात्रि या अमावस्या होती है।	Eng_Geo_ncert_6stnd_1ch_0014	It is a New moon night or Amavasya
14	Hin_Geo_ncert_6stnd_1ch_0015	ऐसी रात में अगर आसमान साफ है तो आप आसमान का अवलोकन अच्छी तरह से कर सकते हैं।	Eng_Geo_ncert_6stnd_1ch_0015	On this day, you can watch the night sky best, provided it is a clear night.
15	Hin_Geo_ncert_6stnd_1ch_0016	क्या आपको इस बात पर आश्चर्य नहीं होता है कि हम दिन के समय चंद्रमा एवं इन सभी छोटी चमकीली वस्तुओं को क्यों नहीं देख पाते हैं	Eng_Geo_ncert_6stnd_1ch_0016	Do you wonder why can’t we see the moon and all those bright tiny objects during day time?
16	Hin_Geo_ncert_6stnd_1ch_0017	ऐसा इसलिए है, क्योंकि सूर्य के अत्यधिक तेज प्रकाश के कारण रात के समय चमकने वाली वस्तुओं को हम दिन में नहीं देख पाते हैं।	Eng_Geo_ncert_6stnd_1ch_0017	It is because the very bright light of the sun does not allow us to see all these bright objects of the night sky.
17	Hin_Geo_ncert_6stnd_1ch_0018	सूर्य, चंद्रमा तथा वे सभी वस्तुएँ जो रात के समय आसमान में चमकती हैं, खगोलीय पिंड कहलाती हैं।	Eng_Geo_ncert_6stnd_1ch_0018	The sun, the moon and all those objects shining in the night sky are called celestial bodies.
18	Hin_Geo_ncert_6stnd_1ch_0019	कुछ खगोलीय पिंड बड़े आकार वाले तथा गर्म होते हैं।	Eng_Geo_ncert_6stnd_1ch_0019	Some celestial bodies are very big and hot.
19	Hin_Geo_ncert_6stnd_1ch_0020	ये गैसों से बने होते हैं।	Eng_Geo_ncert_6stnd_1ch_0020	They are made up of gases.
20	Hin_Geo_ncert_6stnd_1ch_0021	इनके पास अपनी ऊष्मा तथा प्रकाश होता है, जिसे वे बहुत बड़ी मात्रा में उत्सर्जित करते हैं।	Eng_Geo_ncert_6stnd_1ch_0021	They have their own heat and light, which they emit in large amounts.
21	Hin_Geo_ncert_6stnd_1ch_0022	इन खगोलीय पिंडों को तारा कहते हैं।	Eng_Geo_ncert_6stnd_1ch_0022	These celestial bodies are called stars.
22	Hin_Geo_ncert_6stnd_1ch_0023	सूर्य भी एक तारा है।	Eng_Geo_ncert_6stnd_1ch_0023	The sun is a star.
23	Hin_Geo_ncert_6stnd_1ch_0024	रात के समय चमकते हुए अनगिनत तारे सूर्य के समान ही हैं।	Eng_Geo_ncert_6stnd_1ch_0024	Countless twinkling stars in the night sky are similar to the sun
24	Hin_Geo_ncert_6stnd_1ch_0025	लेकिन हमसे बहुत अधिक दूर होने के कारण हम लोग उनकी ऊष्मा या प्रकाश को महसूस नहीं करते हैं तथा वे अत्यंत छोटे दिखाई पड़ते हैं।	Eng_Geo_ncert_6stnd_1ch_0025	But we do not feel their heat or light, and they look so tiny because they are very very far from us.
25	Hin_Geo_ncert_6stnd_1ch_0026	आपने अवश्य ध्यान दिया होगा कि कुछ दूरी से देखने पर सभी वस्तुएँ छोटी दिखाई पड़ती हैं।	Eng_Geo_ncert_6stnd_1ch_0026	You must have noticed that all objects look smaller when seen from a distance
26	Hin_Geo_ncert_6stnd_1ch_0027	अत्यधिक ऊँचाई पर उड़ रहा हवाई जहाज कितना छोटा दिखाई देता है!	Eng_Geo_ncert_6stnd_1ch_0027	How small an aeroplane looks when it is flying at a great height!
27	Hin_Geo_ncert_6stnd_1ch_0028	रात्रि में आसमान की ओर देखते समय आप तारों के विभिन्न समूहों द्वारा बनाई गई विविध आकृतियों देख सकते हैं।	Eng_Geo_ncert_6stnd_1ch_0028	While watching the night sky, you may notice various patterns formed by different groups of stars.
28	Hin_Geo_ncert_6stnd_1ch_0029	ये नक्षत्रमंडल कहलाते हैं।	Eng_Geo_ncert_6stnd_1ch_0029	These are called constellations.
29	Hin_Geo_ncert_6stnd_1ch_0030	अर्सा मेजर या बिग बीयर इसी प्रकार का एक नक्षत्रमंडल है।	Eng_Geo_ncert_6stnd_1ch_0030	Ursa Major or Big Bear is one such constellation.
30	Hin_Geo_ncert_6stnd_1ch_0031	बहुत आसानी से पहचान में आने वाला नक्षत्रमंडल है सप्तऋषि।	Eng_Geo_ncert_6stnd_1ch_0031	One of the most easily recognisable constellation
